Core1,Core2
1964,2551
1964,2574
1970,2555
1977,2708
1988,2581
1991,2531
2000,2583
2005,2525
2006,2645
2013,2576
2013,2577
2013,2584
2014,2613
2017,2560
2019,2498
2026,2552
2028,2618
2033,2568
2040,2607
2042,2604
2061,2620
2062,2539
2063,2539
2068,2605
2070,2620
2079,2666
2080,2646
2080,2749
2081,2672
2082,2683
2083,2588
2089,2638
2097,2631
2101,2634
2110,2652
2111,2630
2113,2666
2116,2682
2119,2698
2122,2688
2124,2834
2125,2686
2130,2678
2131,2705
2132,2686
2134,2482
2135,2688
2136,2587
2140,2687
2142,2690
2144,2684
2147,2640
2149,2614
2150,2713
2151,2676
2154,2701
2157,2677
2159,2161
2162,2732
2162,2765
2166,2706
2168,2714
2171,2959
2172,2695
2173,3020
2174,2742
2176,2743
2176,2793
2177,2736
2178,2755
2180,2916
2180,2949
2183,2694
2183,2897
2183,3440
2185,2724
2188,2798
2191,2876
2199,2819
2202,2818
2204,2856
2205,2870
2206,2761
2208,2716
2210,2876
2211,2821
2211,2846
2214,2796
2215,2820
2216,2810
2220,2876
2220,2878
2221,2877
2222,2833
2230,2641
2231,2874
2237,2918
2238,2893
2239,2716
2240,2892
2245,2881
2247,2900
2247,3440
2249,2880
2252,2905
2256,2984
2256,2988
2258,2890
2259,2896
2260,2890
2261,2920
2262,2929
2263,2884
2269,2964
2272,2957
2274,2936
2278,2927
2281,2954
2283,2896
2284,2875
2288,2946
2289,2982
2290,2947
2291,3011
2292,2991
2293,2948
2294,2985
2295,3000
2297,2990
2297,2997
2298,2991
2299,2964
2300,2960
2303,2996
2304,2985
2305,3006
2306,2985
2307,3007
2308,3008
2309,3010
2310,3014
2311,2996
2313,2996
2314,3014
2315,3018
2316,2915
2317,2918
2318,2915
2319,2915
2320,3022
2322,2915
2323,2915
2324,2915
2326,2915
2327,2915
2328,2968
2329,2968
2331,3029
2332,3030
2333,2968
2334,2968
2335,2968
2336,3027
2337,2968
2338,2968
2339,2968
2340,3037
2341,3038
2342,3041
2344,3045
2345,3043
2346,3040
2347,3042
2348,3044
2349,3055
2349,3062
2350,3039
2353,3046
2360,3050
2368,3048
2369,3053
2370,3048
2372,3054
2375,3063
2376,3067
2381,2455
2381,3085
2381,3124
2382,3075
2386,2457
2386,3085
2386,3124
2389,3084
2390,3083
2391,3079
2395,3065
2401,2434
2401,3115
2402,3081
2407,3091
2408,3098
2408,3109
2408,3120
2408,3123
2413,3101
2419,3107
2420,3107
2427,3106
2428,3095
2429,3139
2429,3141
2440,3112
2440,3151
2447,3073
2448,3134
2450,2457
2450,3138
2450,3964
2453,3073
2455,3085
2457,3085
2457,3138
2457,3144
2457,3964
2457,3978
2460,2545
2460,3161
2460,3162
2460,4020
2466,3134
2472,3150
2472,3155
2482,3152
2482,3153
2487,3144
2488,3152
2489,3157
2493,3148
2498,3200
2513,3176
2515,3264
2517,2545
2517,3162
2525,3197
2535,3182
2536,3166
2545,3162
2546,3184
2551,3169
2555,3188
2568,3151
2574,3169
2576,3201
2576,3202
2577,3198
2584,3209
2585,3182
2587,3233
2600,3238
2608,3234
2613,3227
2628,3212
2637,3182
2637,3220
2637,3235
2641,3509
2642,3314
2643,3258
2645,3230
2647,3236
2649,3208
2656,3341
2662,3193
2662,3265
2665,3227
2665,3240
2667,3236
2672,3251
2673,3283
2673,3311
2684,3241
2684,3254
2691,3286
2693,3391
2694,3534
2695,3346
2697,3291
2707,3273
2709,3215
2729,3296
2734,3322
2736,3317
2738,3333
2738,3363
2738,3371
2742,3323
2743,3451
2745,3474
2745,3525
2749,3336
2749,3337
2750,3334
2754,3330
2757,3365
2778,3381
2779,2817
2780,3382
2783,3259
2784,3369
2785,3461
2786,3399
2790,3343
2792,3404
2794,3342
2796,3410
2796,3438
2797,3476
2803,3399
2806,3480
2807,3434
2808,3429
2810,3357
2812,2829
2820,3378
2823,3522
2823,3566
2825,3413
2827,3459
2827,3464
2827,3479
2832,3420
2834,3416
2843,3359
2844,3231
2845,3469
2849,3532
2853,3432
2856,3406
2866,3517
2869,3479
2873,3411
2874,3294
2874,3312
2875,3499
2876,3325
2877,3499
2878,3452
2880,3449
2884,3471
2888,3523
2889,3444
2890,3550
2896,3453
2896,3521
2897,3440
2897,3515
2899,3231
2900,3440
2901,3460
2902,3485
2903,3516
2904,3485
2905,3324
2912,3530
2914,3541
2915,3603
2915,3701
2915,3705
2916,3475
2918,3626
2918,3663
2919,3451
2919,3553
2922,3542
2923,3540
2924,3489
2925,3557
2928,3555
2928,3559
2929,3553
2932,3523
2937,3544
2946,3567
2946,3573
2947,3577
2948,3524
2953,3584
2955,3559
2959,3596
2960,3607
2961,3658
2963,3551
2964,3591
2968,3603
2968,3691
2969,3392
2977,3600
2982,3594
2985,3634
2985,3641
2989,3524
2991,3632
2993,3601
2996,3637
2997,3592
2997,3619
2998,3640
3000,3633
3001,3524
3002,3617
3002,3631
3003,3628
3004,3616
3005,3625
3006,3644
3007,3639
3008,3640
3009,3634
3011,3643
3013,3654
3014,3637
3015,3650
3016,3657
3017,3658
3018,3660
3019,3660
3020,3346
3021,3346
3022,3681
3023,3681
3024,3647
3025,3681
3026,3685
3027,3603
3029,3603
3030,3603
3031,3603
3032,3603
3033,3603
3034,3603
3036,3603
3037,3911
3038,3910
3039,3920
3040,3918
3040,3923
3041,3913
3042,3912
3043,3924
3044,3915
3045,3921
3046,3920
3047,3926
3048,3927
3048,3932
3052,3929
3059,3930
3066,3934
3067,3940
3075,3948
3077,3945
3080,3951
3083,3950
3085,3124
3085,3144
3085,3917
3085,3919
3085,3978
3085,4553
3086,3952
