Cores,TempF_0,CoreF_0,Mean_fut
299,10.49,299,14.64713688
300,10.36,300,14.21488148
301,10.43,301,14.67008329
302,10.43,302,14.29246095
303,10.33,303,14.19941842
304,10.36,304,14.21506543
305,10.52,305,14.29637636
306,10.51,306,14.2923427
307,9.98,307,13.81842798
309,-0.72,14771,14.13716599
312,10.95,312,15.22217836
313,10.31,313,14.55513417
314,9.7,314,13.46766365
315,10.64,315,14.93065292
316,10.58,316,14.41402615
317,10.19,317,13.96301351
318,10.62,318,14.82419379
319,10.59,319,14.78499763
320,1.59,7979,14.49036108
321,10.54,321,14.78222705
322,10.8,322,15.08201012
323,10.18,323,13.82822936
324,10.13,324,13.8492561
325,10.22,325,13.9560082
326,10.22,326,13.99588011
327,9.92,14318,14.30515012
328,1.59,7979,14.65404604
329,1.59,7979,14.34550899
330,10.61,330,14.78542481
331,10.44,331,14.29666417
332,10.6,332,14.83079562
333,10.33,333,14.19281015
334,10.86,334,15.04365958
335,10.21,335,13.94348157
336,9.95,14292,13.7946412
337,10.48,337,14.1921894
338,10.61,338,14.34178188
339,10.56,339,14.27934654
340,2.21,7971,13.99166467
341,10.31,341,14.17501406
342,-0.93,3879,14.60985229
343,10.36,343,14.10798099
344,-0.72,14771,14.29218486
345,10.19,345,13.8910497
346,10.48,346,14.20626673
348,10.54,348,14.82978254
349,10.7,349,14.53423047
350,10.46,350,14.30949212
351,10.98,351,15.18800642
352,10.97,352,15.20089219
353,10.61,353,14.44542783
354,10.53,354,14.2788046
355,10.83,355,14.63486542
356,10.61,356,14.85319947
357,10.17,357,13.8670658
358,10.84,358,14.66108423
359,10.53,359,14.37920985
360,10.3,360,14.01623975
361,10.86,361,15.0324577
362,1.59,7979,14.66879091
363,1.59,7979,14.72896837
365,10.87,365,14.63410592
366,9.49,14242,14.11700374
367,9.49,14242,13.29173477
368,10.96,368,14.78571438
369,10.73,369,14.5858925
370,10.69,370,14.4514404
371,10.84,371,14.59364889
372,9.93,14347,13.77293456
373,10.27,373,13.98708514
374,10.09,374,13.80236554
375,10.74,375,14.46841181
376,10.58,376,14.30934736
377,9.88,14312,14.29044473
378,10.44,378,14.71475066
379,10.09,379,14.28762135
380,1.59,7979,14.65039543
381,10.42,381,14.61960743
382,9.94,14345,14.17432705
383,10.77,383,15.05075714
384,10.55,384,14.6900448
386,9.76,14310,14.18600496
387,10.55,387,14.81800697
388,10.48,388,14.70437624
389,5.23,11602,14.50405759
390,10.26,390,14.47127698
391,10.89,391,15.1435845
392,10.57,392,14.42653816
393,10.81,393,14.64689535
394,10.3,394,13.98291725
396,10.1,396,14.25405991
397,10.94,397,14.68165455
398,10.2,398,13.85109331
399,9.99,1051,14.07692037
400,9.44,14115,13.83237875
401,10.08,401,14.20855669
402,9.9,14344,14.23667969
404,10.86,404,15.14862426
405,10.71,405,14.40524053
406,1.59,7979,14.49156986
407,1.59,7979,14.33986245
408,10.14,408,14.31108716
409,10.9,409,14.63344494
410,9.86,14328,14.19104204
411,1.14,3855,14.75313384
412,-1.64,14654,14.72360857
413,10.62,413,14.86197626
414,10.09,414,14.24557391
415,10.24,415,14.49267058
416,10.62,416,14.47686452
417,10.86,417,14.59768488
418,10.77,418,14.49099155
419,-0.93,3879,14.78991486
420,10.67,420,14.90841388
421,10.55,421,14.74291251
422,10.76,422,14.62119635
423,9.47,14364,13.95509477
424,10.51,424,14.36954766
425,10.44,425,14.7155779
426,10.61,426,14.86708142
428,10.62,428,14.81663675
429,10.6,429,14.82915027
430,10.23,430,14.41853233
431,9.15,14392,13.78938636
432,10.2,432,14.3560145
433,10.46,433,14.62552123
434,10.57,434,14.72710724
436,10.5,436,14.76233766
439,10.93,439,15.19920152
441,10.69,441,14.95203925
442,6.33,12704,13.86275242
443,-0.72,14771,14.29908261
445,9.86,14328,14.16428453
446,10.71,446,14.91979235
447,10.68,447,14.93425735
448,10.61,448,14.87093492
449,8.89,14383,13.80330922
450,8.61,13555,13.77959198
452,10.28,452,13.82976524
453,10.92,453,14.63720303
454,10.78,454,14.46509922
455,10.71,455,14.96321584
456,10.27,456,14.45391634
457,10.73,457,14.98770481
458,10.96,458,14.79992279
459,10.61,459,14.45163062
460,11.05,460,14.73976008
461,8.61,13555,13.86090681
462,9.64,462,13.21405991
463,10.13,463,14.31699771
465,10.86,465,15.11413098
467,10.86,467,14.71576821
468,10.92,468,14.76014374
469,10.78,469,15.00134623
470,10.44,470,14.6503762
471,10.84,471,15.085785
472,1.59,7979,14.48533024
474,10.29,474,14.49113756
475,10.78,475,14.62070443
476,10.33,476,14.55136609
477,9.88,14404,14.3030479
478,10.88,478,15.1052188
479,9.74,14431,14.15031408
480,9.47,14364,13.7189947
482,10.39,482,14.58721956
483,10.88,483,15.13225413
484,10.96,484,15.21354132
485,11.06,485,14.76198762
486,9.22,14413,14.44653642
487,0.14,9417,14.59494544
488,9.47,14364,13.89045395
489,10.46,489,14.6845966
490,10.7,490,14.37519395
491,10,491,13.54847537
492,10.22,492,13.83710182
494,10.48,494,14.12873251
496,10.92,496,14.57464706
498,10.92,498,15.11215494
499,10.5,499,14.64484493
500,5.23,10438,14.95334041
501,1,8027,14.59069014
502,-0.72,14771,14.65353613
503,10.35,503,13.5011799
504,-0.72,14771,15.591115
505,-0.93,3879,14.68489074
506,-0.93,3879,15.01921332
507,10.64,507,14.86859951
509,9.2,509,13.2249603
510,-2.78,14723,14.86722367
511,1,8027,15.00893306
512,-2.78,14723,14.37292164
513,0.66,3881,15.02929803
514,1,8027,14.81081842
515,8.69,13675,14.64123102
517,10.57,517,14.77128851
519,8.16,13652,13.93286869
520,8.16,13652,13.80112548
521,10.94,521,15.17879713
522,11.04,522,15.26678937
523,10.08,523,13.66372852
524,10.02,524,13.52458584
525,0.66,3881,14.54244135
526,10.55,526,14.7748323
527,-0.93,3879,15.19791625
528,10.59,528,14.29310462
529,-0.72,14771,14.72502876
532,9.59,532,13.16210117
533,9.56,14433,13.66563216
534,4.35,10429,14.31382707
535,10.69,535,14.90495034
537,10.88,537,15.05475218
538,-0.72,14771,15.53702142
539,8.86,14445,14.0691075
540,10.77,540,14.42870576
541,3.24,9268,14.63909781
542,7.87,13710,14.6339508
546,4.35,10429,14.53919745
547,9.44,14329,13.89652034
548,10.13,548,13.68386188
549,-1.81,14685,14.03737734
550,9.39,14453,13.96104709
553,9.45,14473,14.17335958
554,9.95,554,14.09952522
555,9.57,555,13.71666578
556,8.22,14460,13.52113391
558,9.86,14353,14.32289258
559,10.74,559,14.26462549
560,10.46,560,14.6614076
