Cores,Area
1081,27000000
1082,26000000
1083,621000000
1085,11000000
1086,35000000
1087,192000000
1088,11413500000
1089,16000000
1090,115000000
1091,26000000
1092,20000000
1093,26000000
1095,24999999.99
1096,34000000
1097,365000000
1098,47499999.98
1099,10000000
1100,52000000
1101,35000000
1102,208000000
1104,24000000
1105,22000000
1106,27000000
1107,81000000
1109,22000000
1110,35000000
1111,285000000
1113,33000000
1114,25000000
1115,73000000
1116,183000000
1117,455000000
1118,46000000
1119,120000000
1120,384000000
1121,10500000
1122,26000000
1123,25000000
1124,12000000
1125,51000000
1126,21000000
1127,239000000
1128,10999999.99
1129,409000000
1130,14000000
1131,20000000
1132,41999999.99
1133,14000000
1134,32000000
1135,463000000
1136,134000000
1137,368000000
1138,82000000
1139,111000000
1140,165000000
1141,118000000
1142,405000000
1143,12000000
1144,21000000
1145,110000000
1147,17000000
1148,45000000
1149,85000000
1150,12000000.01
1151,14000000
1152,20000000
1153,11000000
1154,206000000
1155,12000000
1157,21000000
1158,38000000
1159,12000000
1160,30000000
1161,52000000.04
1162,21000000
1163,13000000
1164,63000000
1166,43999999.98
1167,38000000
1168,17000000
1169,177000000
1170,143000000
1171,183000000
1172,24000000
1173,20000000
1174,22000000
1175,163000000
1176,20000000
1177,12000000
1178,18000000
1179,49000000
1180,68000000
1181,34000000
1182,36000000
1183,222000000
1184,23000000
1185,11000000
1186,19000000
1187,14500000.01
1188,52000000.01
1189,669000000
1190,39000000.01
1191,28000000
1192,51999999.99
1193,169000000
1194,12000000
1195,145000000
1196,36000000
1197,442000000
1198,489000000
1199,135000000
1200,56000000
1201,21000000
1202,27000000
1203,47000000
1204,16000000
1205,94000000
1206,60000000
1207,306000000
1209,57500000.02
1210,658000000
1211,101000000
1212,141000000
1213,87000000
1215,67499999.99
1216,25000000
1217,482000000
1218,127000000
1220,199000000
1221,13000000
1222,30000000
1223,539000000
1224,17000000
1225,13000000
1226,13000000
1227,52999999.99
1228,177000000
1229,32000000
1230,24000000
1231,147000000
1232,62000000
1233,50000000
1234,472000000
1235,277000000
1236,25000000
1237,156000000
1238,191000000
1239,202000000
1240,81000000
1241,82999999.99
1242,47000000
1243,34000000
1244,176000000
1245,13000000
1246,187000000
1247,107000000
1248,188000000
1249,22499999.98
1250,48000000
1251,216000000
1252,24999999.99
1254,254000000
1255,22000000
1256,36000000
1257,35000000
1258,10000000
1259,214000000
1261,76000000
1262,164000000
1264,136000000
1265,171000000
1266,48000000
1267,44500000.01
1269,79000000.04
1270,117000000
1271,119000000
1272,11000000
1273,42000000
1274,78000000
