Cores,Mean
1264,11.69
1265,10.67
1266,11.76
1267,11.98
1269,11.38
1270,11.14
1271,11.78
1272,11.67
1273,11.41
1274,11.91
1275,11.55
1276,11.74
1277,11.63
1278,11.22
1280,11.89
1281,11.34
1282,11.3
1283,11.06
1284,10.85
1285,11.4
1287,9.92
1288,11.17
1290,11.68
1291,11.48
1292,11.86
1293,11.83
1295,11.22
1296,11.01
1299,10.73
1300,11.45
1301,11.57
1302,11.71
1303,9.76
1304,11.09
1305,9.96
1307,11.71
1308,11.16
1309,11.72
1310,11.77
1311,11.73
1312,11.35
1313,11.06
1314,11.77
1315,11.88
1316,11.25
1319,11.25
1320,11.86
1322,11.29
1323,11.22
1324,11.3
1325,11.26
1326,13.01
1327,11.47
1328,11.57
1329,11.48
1330,11.33
1331,10.89
1332,11.2
1333,11.17
1334,11.49
1335,11.9
1336,11.04
1338,11.66
1339,11.67
1340,11.75
1341,11.47
1342,11.24
1343,10.92
1345,10.96
1346,11.34
1347,11.12
1348,11.12
1349,11.89
1350,11.69
1351,11.73
1352,11.3
1353,10.79
1354,12.13
1355,11.3
1356,11.46
1357,11.22
1358,11.78
1359,11.43
1360,11.3
1361,11.66
1362,11.29
1364,11.51
1365,11.68
1367,10.58
1368,11.23
1369,10.88
1370,11.37
1371,11.13
1372,11.36
1373,11.18
1374,11.61
1375,11.49
1376,11.63
1377,11.77
1378,11.63
1379,11.95
1380,11.51
1381,11.96
1382,11.92
1383,11.28
1384,11.7
1386,10.49
1387,11.78
1388,11.73
1389,11.69
1390,11.73
1391,11.21
1393,11.19
1394,12.02
1396,11.15
1397,11.55
1398,10.42
1399,11.43
1400,11.8
1401,11.22
1402,11.04
1405,11.09
1407,11.51
1409,11.11
1410,10.99
1411,11.52
1412,11.15
1413,11.52
1414,11.5
1415,11.22
1416,11.1
1417,11.17
1418,11.95
1419,11.39
1420,11.05
1421,11.15
1423,10.93
1424,11.59
1425,10.87
1426,11.81
1428,11.45
1430,11.42
1431,11.57
1432,11.09
1436,11.48
1437,10.5
1438,11.94
1439,11.93
1441,11.69
1442,11.89
1445,11.07
1446,10.93
1447,11.15
1448,11.09
1449,11.5
1450,10.82
1452,11.25
1454,11.52
1455,11.18
1456,11.29
1457,11.51
1458,11.18
1459,11.63
1461,11.48
1463,11.33
1464,10.97
1466,11.77
1467,11.61
1468,11.5
1470,11.71
1471,11.45
1472,11.13
1473,11.34
1475,10.78
1477,11.42
1479,11.16
1484,11.38
1485,12.21
1486,11.46
1487,11.34
1488,10.78
1489,11.06
1490,11.6
1491,10.54
1492,11.51
1493,10.99
1494,11.53
1495,11.49
1496,11.78
1497,11.28
1499,11.22
1500,11.62
1501,11.53
1502,12.37
1503,11.54
1504,11.18
1505,11.11
1506,10.17
1507,11.16
1508,10.11
1509,11.47
1510,10.6
1511,11.43
1512,11.23
1513,11.42
1514,11.86
1515,11.39
1516,11.61
1517,11.44
1518,10.96
1519,11.52
1520,11.49
1522,11.56
1524,11.51
1525,10.72
1527,11.12
1528,11.53
1530,11.4
1534,11.35
1536,11.6
1537,11.08
1540,11.64
1541,11.46
1542,11.44
1543,11.66
1544,11.58
1545,11.35
1546,10.82
1547,11.38
1548,11.56
1549,11.48
1550,11.73
1551,11.4
1552,11.61
1553,11.67
1554,11.68
1556,11.37
1557,11.44
1558,11.2
1559,11.27
1560,11.09
1561,11.81
1562,10.98
1563,11.4
1564,11.13
1565,11.91
1567,12.28
