"","Core","Final_Temp","Final_Core","Final_Cost","EucDist","PathDist","CostToEuc","CostToPath"
"102",150,0.91,3775,0,0,0,0,0
"103",151,0.91,3775,0,0,0,0,0
"104",152,0.91,3775,427424.69,4472.14,7656,95.5749797636031,55.8287212643678
"105",153,7.28,11875,714449.13,13000,14656,54.9576253846154,48.7478936954148
"106",154,7.28,11875,0,0,0,0,0
"107",155,7.28,11875,0,0,0,0,0
"108",156,0.91,3775,0,0,0,0,0
"109",157,7.28,11875,0,0,0,0,0
"110",158,0.91,3775,670642.35,7123.11,8242,94.1502166890586,81.3688849793739
"111",159,0.91,3775,0,0,0,0,0
"112",161,4.76,10065,0,0,0,0,0
"113",162,0.91,3775,269701.69,3000,3414,89.9005633333333,78.9987375512595
"114",164,0.91,3775,193373.23,2828.43,2828,68.3676916169041,68.3780869872702
"115",165,-3.96,14732,1677091,23707.69,26212,70.7403800201538,63.9818022279872
"116",167,4.76,10065,406336.66,4242.64,5414,95.7744847547753,75.0529479128186
"117",168,-0.42,7932,0,0,0,0,0
"118",169,0.91,3775,407044.17,5990.71,6242,67.9458978985796,65.2105366869593
"119",171,-3.96,14732,993580,11841.62,14070,83.9057493822636,70.6169154228856
"120",173,-3.96,14732,769233,8841.62,11070,87.0013640034292,69.4880758807588
"121",174,-3.96,14732,793869,9359.18,11484,84.8224951331206,69.1282654127482
"122",175,4.76,10065,0,0,0,0,0
"123",176,7.28,11875,0,0,0,0,0
"124",178,4.05,9072,0,0,0,0,0
"125",179,4.05,9072,283745.91,2000,2414,141.872955,117.541801988401
"126",180,9.48,13992,0,0,0,0,0
"127",182,-3.96,14732,959569,11841.62,14070,81.0335916876238,68.199644633973
"128",183,4.05,9072,0,0,0,0,0
"129",184,-3.96,14732,510852,5236.07,7242,97.5640127041846,70.5401822700911
"130",185,4.05,9072,0,0,0,0,0
"131",186,-0.42,7932,0,0,0,0,0
"132",187,-3.96,14732,803469,9359.18,12484,85.8482260198009,64.3599006728613
"133",188,-3.96,14732,510852,5236.07,7242,97.5640127041846,70.5401822700911
"134",190,1.49,3823,0,0,0,0,0
"135",191,-0.42,7932,166688.13,2236.07,2414,74.5451305191698,69.0505923777962
"136",192,1.49,3823,0,0,0,0,0
"137",193,5.45,11257,6130185.21,90457.27,102495,67.7688505302006,59.809602517196
"138",195,1.49,3823,0,0,0,0,0
"139",198,4.05,9072,0,0,0,0,0
"140",199,4.05,9072,519276.61,4828.43,5828,107.545643200792,89.1003105696637
"141",202,1.49,3823,134298.98,2000,2000,67.14949,67.14949
"142",203,8.34,13118,0,0,0,0,0
"143",205,3.46,9113,183261.92,3000,3000,61.0873066666667,61.0873066666667
"144",207,9.23,14043,0,0,0,0,0
"145",208,8.34,13118,198924.48,2000,2000,99.46224,99.46224
"146",209,6.26,11408,0,0,0,0,0
"147",210,10.19,212,248536.08,2828.43,3828,87.8706844433131,64.9258307210031
"148",211,8.34,13118,0,0,0,0,0
"149",212,10.19,212,0,0,0,0,0
"150",213,1.49,3823,0,0,0,0,0
"151",214,9.31,14168,441190.09,5385.16,6242,81.9270160960863,70.6808859339955
"152",215,3.46,9113,227029.69,2000,2414,113.514845,94.0470961060481
"153",216,3.46,9113,0,0,0,0,0
"154",217,3.46,9113,396507.65,5000,5414,79.30153,73.2374676763945
"155",218,4.23,9073,5761260.45,82933.82,97978,69.4681669070591,58.801572291739
"156",224,3.46,9113,396507.65,5000,5414,79.30153,73.2374676763945
"157",225,6.41,12538,244963.66,3605.55,3828,67.9407191690588,63.9925966562173
"158",226,6.38,12424,4706043.85,71701.43,81008,65.6338911232315,58.0935691536638
"159",227,6.41,12538,273296.88,3162.28,4414,86.423997874951,61.9159220661532
"160",228,1.49,3823,0,0,0,0,0
"161",229,-0.72,14771,482818.28,5605.55,5828,86.1321868505321,82.8445916266301
"162",230,1.49,3823,427347.75,5398.35,5828,79.1626608130262,73.3266557995882
"163",231,2.21,7971,0,0,0,0,0
"164",232,-1.64,14654,1204452,12609.45,15484,95.5197887298812,77.7868767760269
